t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l,a7
29.5,6.4857328004543255,5.499831817739489e6,7.217625661334248,2.8421498877041045,2.3172914040324534e6,700.1172498324897,1437.1016045283486,15095.468194152523,4601.635982654276,19868.652440890783,3317.241328907334,9.361637041052484,20.395826650747274,4.920506035853766e8,1013.0005095455294,10.644062792998373,1.1644484189411441e6,144.50927599937924,32405.570712478664,213.8544495896856,54549.79586647224,155450.1885005177,131699.25685544065,14854.160047675321,8436.593075436223,37126.76317534175,4.249073786715802,3.732199950378987,3.040532418513265,404130.37629728153,5.741320638076301,0.0008317947743904036,5.761905895527046,0.05897671386496948,0.01101945121896493,9.052529287826838
30.0,4.14420814343013,5.499885513446426e6,4.586759479098995,1.8041360295781927,2.3287894556168416e6,545.5711412187569,1482.1467361897467,14723.741179860352,4601.232767002871,19894.418332406334,3005.0735494881774,9.292424671129659,14.370519874408904,4.921952914853123e8,717.7382143069735,7.4512939233973885,1.1666857414763188e6,112.57173081279595,32679.10128373251,214.57995767415463,53297.82256586904,151636.58684252165,128511.50151178754,15032.424084958318,7613.403707067827,34538.82337167208,4.271319614348682,3.7087283392042,3.0057658903849895,404090.8836312991,4.127573131631217,0.0005708256991607935,5.621487435307979,0.04244852773728246,0.008211723786988982,9.098737979728247
30.5,2.656133068011439,5.499922137093655e6,2.9212766996286375,1.1483428623429306,2.3395639998473786e6,425.0965199984988,1527.0741538286961,14360.999052185614,4598.0524223538605,19920.14890317873,2721.841208438908,9.21963815717268,10.158128085507261,4.9233961948492795e8,508.5268833615264,5.222758128032419,1.1687822721365062e6,87.69049835322825,32938.41964968178,216.15122699823579,52075.456411270985,147911.07893390802,125385.04430320357,15193.775379954925,6900.342102767225,32092.18872960115,4.285648126656281,3.677541279547543,2.9647160728284643,404051.33272280614,2.9674109957244554,0.00039306905304270604,5.484046499078155,0.03054619543169019,0.006129060860931128,9.142693047132546
31.0,1.708027182328995,5.499947087750246e6,1.8652361094489218,0.7331320655652109,2.349660534931792e6,331.1978750493942,1571.8723266026714,14007.057283571086,4592.230736013346,19945.829470747107,2464.9600154192067,9.143733660043047,7.2020580714428775,4.924835880733445e8,360.2969460287986,3.6650583592455965,1.17074686873564e6,68.30722213536473,33185.06202277137,218.35676163867058,50882.279316992164,144273.00587381743,122323.06447676223,15338.925475550408,6282.458416863759,29788.236270790752,4.292638498847137,3.6394292293723107,2.9181402449440395,404011.850972859,2.133342538211449,0.00027151896878066295,5.349638948183418,0.02197751209077906,0.0045818773465143665,9.18450440060343
31.5,1.1022541984598686,5.499964068578665e6,1.1943210671256057,0.46959396817803195,2.359121708081878e6,258.0227873404964,1616.532033036407,13661.728865700257,4583.898789986308,19971.448658183763,2232.054528399113,9.065124724877858,5.120393215767239,4.926271978635167e8,255.27767121762932,2.574819451805399,1.1725878324395441e6,53.20748247844438,33420.60306463201,221.05193775032438,49717.79373524177,140721.3436925317,119327.41879302313,15468.564790382807,5746.814398354729,27626.034077732686,4.292858942418109,3.5951522221693373,2.8667592733087326,403972.5288685307,1.5337107524225215,0.00018810299040593592,5.218285438565291,0.01581025761404718,0.003430718534986888,9.224276590303127
32.0,0.7140212211650103,5.499975614918638e6,0.7671132568915179,0.3018612844440567,2.3679874904368496e6,201.00392047690138,1661.0459393624467,13324.82565306052,4573.183052908391,19996.99767208857,2020.9463737486965,8.984185836834346,3.649766340713885,4.9277044955290556e8,180.87432931663713,1.8108089513103953,1.1743129425451444e6,41.44496141590949,33646.55213595237,224.13618129410295,48581.4528293435,137254.8084704222,116398.99477036657,15583.362143074246,5282.250793808348,25602.877130460216,4.2868608868021045,3.545434091337644,2.811252950458137,403933.43036944093,1.1026211441511509,0.00013066610596808228,5.089980943090537,0.011372305470946193,0.0025728742776865952,9.262109067422312
32.5,0.46438550593993383,5.4999834597777715e6,0.4943878247800509,0.19478079467450948,2.3762953426256776e6,156.57820945897853,1705.408250866288,12996.1594515822,4560.205480743235,20022.469737326785,1829.6418301923402,8.901255751681314,2.6077230019970705,4.9291334389670706e8,128.16184861107698,1.2747824223498485,1.17592948915268e6,32.28230342359685,33864.2947048623,227.53839125983424,47472.680239613925,133871.9347157953,113537.97664950216,15683.964661017444,4879.164029310754,23714.731282511046,4.275174728060773,3.49095859754149,2.752257109524662,403894.60037482623,0.7927005512064594,9.099507530591727e-5,4.964701914715091,0.008179292180148515,0.0019325968458290173,9.298096432859827
33.0,0.3033025499330855,5.499988786051421e6,0.3197857097829676,0.1261951418037454,2.3840803709529224e6,121.96690299959768,1749.614424665076,12675.542893719996,4545.083623970011,20047.85965480756,1656.3192149287888,8.8166405979964,1.8673234173335085,4.9305588168953085e8,90.81631174745436,0.8982908249910918,1.1774443038363191e6,25.145005066637488,34075.06467520383,231.20754400879952,46390.88322272204,130571.13367270771,110744.04364228714,15770.997933905339,4529.300196191417,21956.597016290405,4.258306858028441,3.4323670892874456,2.690362155737151,403856.0700917112,0.5698912605546235,6.351614477159671e-5,4.8424116290932036,0.0058823067214551494,0.0014539460422524882,9.332328673774258
33.5,0.19897168206401822,5.499992400129482e6,0.20765447953670818,0.08211001477157807,2.3913754744154382e6,95.00346168963428,1793.6609338757125,12362.790135717423,4527.930739370103,20073.163455726728,1499.316388653704,8.730616753355088,1.339902043451178,4.9319806375279725e8,64.3572542464153,0.6335738105241918,1.1788637884212236e6,19.585468836127852,34279.936859909416,235.10655751129607,45335.4615175321,127350.73659218266,108016.516558783,15845.06632339981,4225.569847749836,20322.804418789638,4.236737727474506,3.37025738129774,2.6261127098153256,403817.86089412094,0.4097083630985326,4.4431624743219934e-5,4.723064142416598,0.004230096703859315,0.001095550866847096,9.364891388598657
34.0,0.13113203025045045,5.499994851122684e6,0.13539971150870636,0.05366627604892857,2.398211482884923e6,73.9990192311321,1837.5450745490648,12057.717407618704,4508.855904853807,20098.37813136139,1357.1186025963384,8.643433500859157,0.9633003596574905,4.933398909260296e8,45.61049417931523,0.4472604686015282,1.1801939419743577e6,15.254984315948024,34479.83181938338,239.20821963088073,44305.813410844574,124209.02675662328,105354.46558308939,15906.753372218476,3961.884387240482,18807.24999574939,4.210920734592839,3.3051835855781597,2.560008108232235,403779.98709745985,0.2945490712519235,3.114432013114923e-5,4.606607207178167,0.0030417855391349636,0.0008267703205132527,9.395866001081252
